id_matricula,id_estudiante,id_carrera,id_periodo,tipo_matricula,estado_matricula,nivel_cursado,fecha_matricula
77,22,1,6,continuidad,vigente,2,2024-08-01
78,22,1,7,continuidad,vigente,3,2025-03-01
79,22,1,8,continuidad,vigente,4,2025-08-01
80,23,6,1,nueva,retirada,1,2022-03-01
81,24,1,5,nueva,vigente,1,2024-03-01
82,24,1,6,continuidad,vigente,2,2024-08-01
83,24,1,7,continuidad,vigente,3,2025-03-01
84,24,1,8,continuidad,vigente,4,2025-08-01
85,25,2,8,nueva,vigente,1,2025-08-01
86,26,1,1,nueva,vigente,1,2022-03-01
87,26,1,2,continuidad,vigente,2,2022-08-01
88,26,1,3,continuidad,vigente,3,2023-03-01
89,26,1,4,continuidad,vigente,4,2023-08-01
90,26,1,5,continuidad,vigente,5,2024-03-01
91,26,1,6,continuidad,vigente,6,2024-08-01
92,26,1,7,continuidad,vigente,7,2025-03-01
93,26,1,8,continuidad,vigente,8,2025-08-01
94,27,1,1,nueva,vigente,1,2022-03-01
95,27,1,2,continuidad,vigente,2,2022-08-01
96,27,1,3,continuidad,vigente,3,2023-03-01
97,27,1,4,continuidad,vigente,4,2023-08-01
98,27,1,5,continuidad,vigente,5,2024-03-01
99,27,1,6,continuidad,vigente,6,2024-08-01
100,27,1,7,continuidad,vigente,7,2025-03-01
101,27,1,8,continuidad,vigente,8,2025-08-01
102,28,6,5,nueva,vigente,1,2024-03-01
103,28,6,6,continuidad,vigente,2,2024-08-01
104,28,6,7,continuidad,vigente,3,2025-03-01
105,28,6,8,continuidad,vigente,4,2025-08-01
106,29,4,3,nueva,vigente,1,2023-03-01
107,29,4,4,continuidad,vigente,2,2023-08-01
108,29,4,5,continuidad,vigente,3,2024-03-01
109,29,4,6,continuidad,retirada,4,2024-08-01
110,30,3,7,nueva,vigente,1,2025-03-01
111,30,3,8,continuidad,vigente,2,2025-08-01
112,31,3,5,nueva,vigente,1,2024-03-01
113,31,3,6,continuidad,vigente,2,2024-08-01
114,31,3,7,continuidad,vigente,3,2025-03-01
115,31,3,8,continuidad,vigente,4,2025-08-01
116,32,3,5,nueva,suspendida,1,2024-03-01
117,33,1,2,nueva,vigente,1,2022-08-01
118,33,1,3,continuidad,vigente,2,2023-03-01
119,33,1,4,continuidad,vigente,3,2023-08-01
120,33,1,5,continuidad,vigente,4,2024-03-01
121,33,1,6,continuidad,vigente,5,2024-08-01
122,33,1,7,continuidad,vigente,6,2025-03-01
123,33,1,8,continuidad,vigente,7,2025-08-01
124,34,3,5,nueva,vigente,1,2024-03-01
125,34,3,6,continuidad,vigente,2,2024-08-01
126,34,3,7,continuidad,vigente,3,2025-03-01
127,34,3,8,continuidad,vigente,4,2025-08-01
128,35,3,3,nueva,vigente,1,2023-03-01
129,35,3,4,continuidad,vigente,2,2023-08-01
130,35,3,5,continuidad,vigente,3,2024-03-01
131,35,3,6,continuidad,vigente,4,2024-08-01
132,35,3,7,continuidad,vigente,5,2025-03-01
133,36,3,6,nueva,vigente,1,2024-08-01
134,36,3,7,continuidad,vigente,2,2025-03-01
135,36,3,8,continuidad,vigente,3,2025-08-01
136,37,1,6,nueva,vigente,1,2024-08-01
137,37,1,7,continuidad,vigente,2,2025-03-01
138,37,1,8,continuidad,vigente,3,2025-08-01
139,38,3,6,nueva,vigente,1,2024-08-01
140,38,3,7,continuidad,vigente,2,2025-03-01
141,38,3,8,continuidad,vigente,3,2025-08-01
142,39,2,7,nueva,vigente,1,2025-03-01
143,39,2,8,continuidad,vigente,2,2025-08-01
144,40,6,3,nueva,vigente,1,2023-03-01
145,40,6,4,continuidad,vigente,2,2023-08-01
146,40,6,5,continuidad,vigente,3,2024-03-01
147,40,6,6,continuidad,vigente,4,2024-08-01
148,40,6,7,continuidad,vigente,5,2025-03-01
149,41,4,5,nueva,vigente,1,2024-03-01
150,41,4,6,continuidad,vigente,2,2024-08-01
151,41,4,7,continuidad,retirada,3,2025-03-01
152,42,6,6,nueva,suspendida,1,2024-08-01
153,43,6,1,nueva,vigente,1,2022-03-01
154,43,6,2,continuidad,vigente,2,2022-08-01
155,43,6,3,continuidad,vigente,3,2023-03-01
156,43,6,4,continuidad,retirada,4,2023-08-01
157,44,2,4,nueva,vigente,1,2023-08-01
158,44,2,5,continuidad,vigente,2,2024-03-01
159,44,2,6,continuidad,vigente,3,2024-08-01
160,44,2,7,continuidad,vigente,4,2025-03-01
161,44,2,8,continuidad,vigente,5,2025-08-01
162,45,3,8,nueva,vigente,1,2025-08-01
163,46,2,5,nueva,vigente,1,2024-03-01
164,46,2,6,continuidad,vigente,2,2024-08-01
165,46,2,7,continuidad,vigente,3,2025-03-01
166,46,2,8,continuidad,vigente,4,2025-08-01
167,47,6,1,nueva,vigente,1,2022-03-01
168,47,6,2,continuidad,vigente,2,2022-08-01
169,47,6,3,continuidad,vigente,3,2023-03-01
170,47,6,4,continuidad,vigente,4,2023-08-01
171,47,6,5,continuidad,vigente,5,2024-03-01
172,48,3,4,nueva,vigente,1,2023-08-01
173,48,3,5,continuidad,vigente,2,2024-03-01
174,48,3,6,continuidad,vigente,3,2024-08-01
175,48,3,7,continuidad,vigente,4,2025-03-01
176,48,3,8,continuidad,vigente,5,2025-08-01
177,49,4,8,nueva,vigente,1,2025-08-01
178,50,3,2,nueva,vigente,1,2022-08-01
179,50,3,3,continuidad,vigente,2,2023-03-01
180,50,3,4,continuidad,vigente,3,2023-08-01
181,50,3,5,continuidad,vigente,4,2024-03-01
182,50,3,6,continuidad,vigente,5,2024-08-01
183,51,2,2,nueva,vigente,1,2022-08-01
184,51,2,3,continuidad,vigente,2,2023-03-01
185,51,2,4,continuidad,vigente,3,2023-08-01
186,51,2,5,continuidad,suspendida,4,2024-03-01
187,52,1,8,nueva,vigente,1,2025-08-01
188,53,1,3,nueva,vigente,1,2023-03-01
189,53,1,4,continuidad,retirada,2,2023-08-01
190,54,1,6,nueva,vigente,1,2024-08-01
191,54,1,7,continuidad,vigente,2,2025-03-01
192,54,1,8,continuidad,vigente,3,2025-08-01
193,55,3,6,nueva,vigente,1,2024-08-01
194,55,3,7,continuidad,vigente,2,2025-03-01
195,55,3,8,continuidad,vigente,3,2025-08-01
196,56,5,3,nueva,vigente,1,2023-03-01
197,56,5,4,continuidad,suspendida,2,2023-08-01
198,57,3,8,nueva,vigente,1,2025-08-01
199,58,5,3,nueva,vigente,1,2023-03-01
200,58,5,4,continuidad,vigente,2,2023-08-01
201,58,5,5,continuidad,vigente,3,2024-03-01
202,58,5,6,continuidad,vigente,4,2024-08-01
203,58,5,7,continuidad,vigente,5,2025-03-01
204,58,5,8,continuidad,vigente,6,2025-08-01
205,59,2,3,nueva,vigente,1,2023-03-01
206,59,2,4,continuidad,vigente,2,2023-08-01
207,59,2,5,continuidad,vigente,3,2024-03-01
208,59,2,6,continuidad,vigente,4,2024-08-01
209,59,2,7,continuidad,vigente,5,2025-03-01
210,59,2,8,continuidad,vigente,6,2025-08-01
211,60,3,3,nueva,vigente,1,2023-03-01
212,60,3,4,continuidad,vigente,2,2023-08-01
213,60,3,5,continuidad,vigente,3,2024-03-01
214,60,3,6,continuidad,vigente,4,2024-08-01
215,60,3,7,continuidad,vigente,5,2025-03-01
216,61,6,5,nueva,vigente,1,2024-03-01
217,61,6,6,continuidad,vigente,2,2024-08-01
218,61,6,7,continuidad,vigente,3,2025-03-01
219,61,6,8,continuidad,vigente,4,2025-08-01
220,62,1,6,nueva,vigente,1,2024-08-01
221,62,1,7,continuidad,vigente,2,2025-03-01
222,62,1,8,continuidad,vigente,3,2025-08-01
223,63,1,1,nueva,vigente,1,2022-03-01
224,63,1,2,continuidad,vigente,2,2022-08-01
225,63,1,3,continuidad,vigente,3,2023-03-01
226,63,1,4,continuidad,vigente,4,2023-08-01
227,63,1,5,continuidad,vigente,5,2024-03-01
228,63,1,6,continuidad,vigente,6,2024-08-01
229,63,1,7,continuidad,retirada,7,2025-03-01
230,64,5,5,nueva,vigente,1,2024-03-01
231,64,5,6,continuidad,vigente,2,2024-08-01
232,64,5,7,continuidad,vigente,3,2025-03-01
233,64,5,8,continuidad,vigente,4,2025-08-01
234,65,5,6,nueva,vigente,1,2024-08-01
235,65,5,7,continuidad,vigente,2,2025-03-01
236,65,5,8,continuidad,vigente,3,2025-08-01
237,66,3,3,nueva,vigente,1,2023-03-01
238,66,3,4,continuidad,vigente,2,2023-08-01
239,66,3,5,continuidad,vigente,3,2024-03-01
240,66,3,6,continuidad,vigente,4,2024-08-01
241,66,3,7,continuidad,retirada,5,2025-03-01
242,67,3,7,nueva,suspendida,1,2025-03-01
243,68,1,1,nueva,vigente,1,2022-03-01
244,68,1,2,continuidad,vigente,2,2022-08-01
245,68,1,3,continuidad,vigente,3,2023-03-01
246,68,1,4,continuidad,vigente,4,2023-08-01
247,68,1,5,continuidad,vigente,5,2024-03-01
248,68,1,6,continuidad,vigente,6,2024-08-01
249,68,1,7,continuidad,vigente,7,2025-03-01
250,68,1,8,continuidad,vigente,8,2025-08-01
251,69,3,1,nueva,vigente,1,2022-03-01
252,69,3,2,continuidad,suspendida,2,2022-08-01
253,70,4,5,nueva,vigente,1,2024-03-01
254,70,4,6,continuidad,vigente,2,2024-08-01
255,70,4,7,continuidad,vigente,3,2025-03-01
256,70,4,8,continuidad,vigente,4,2025-08-01
257,71,4,3,nueva,vigente,1,2023-03-01
258,71,4,4,continuidad,vigente,2,2023-08-01
259,71,4,5,continuidad,vigente,3,2024-03-01
260,71,4,6,continuidad,vigente,4,2024-08-01
261,71,4,7,continuidad,vigente,5,2025-03-01
262,72,3,6,nueva,vigente,1,2024-08-01
263,72,3,7,continuidad,vigente,2,2025-03-01
264,72,3,8,continuidad,vigente,3,2025-08-01
265,73,4,6,nueva,vigente,1,2024-08-01
266,73,4,7,continuidad,vigente,2,2025-03-01
267,73,4,8,continuidad,vigente,3,2025-08-01
268,74,3,7,nueva,vigente,1,2025-03-01
269,74,3,8,continuidad,vigente,2,2025-08-01
270,75,5,5,nueva,vigente,1,2024-03-01
271,75,5,6,continuidad,vigente,2,2024-08-01
272,75,5,7,continuidad,vigente,3,2025-03-01
273,75,5,8,continuidad,vigente,4,2025-08-01
274,76,3,3,nueva,retirada,1,2023-03-01
275,77,5,1,nueva,vigente,1,2022-03-01
276,77,5,2,continuidad,vigente,2,2022-08-01
277,77,5,3,continuidad,vigente,3,2023-03-01
278,77,5,4,continuidad,vigente,4,2023-08-01
279,77,5,5,continuidad,vigente,5,2024-03-01
280,77,5,6,continuidad,vigente,6,2024-08-01
281,77,5,7,continuidad,vigente,7,2025-03-01
282,77,5,8,continuidad,vigente,8,2025-08-01
283,78,6,5,nueva,suspendida,1,2024-03-01
284,79,6,5,nueva,vigente,1,2024-03-01
285,79,6,6,continuidad,vigente,2,2024-08-01
286,79,6,7,continuidad,retirada,3,2025-03-01
287,80,2,3,nueva,vigente,1,2023-03-01
288,80,2,4,continuidad,vigente,2,2023-08-01
289,80,2,5,continuidad,vigente,3,2024-03-01
290,80,2,6,continuidad,vigente,4,2024-08-01
291,80,2,7,continuidad,vigente,5,2025-03-01
292,80,2,8,continuidad,vigente,6,2025-08-01
293,81,4,1,nueva,vigente,1,2022-03-01
294,81,4,2,continuidad,vigente,2,2022-08-01
295,81,4,3,continuidad,vigente,3,2023-03-01
296,81,4,4,continuidad,vigente,4,2023-08-01
297,81,4,5,continuidad,vigente,5,2024-03-01
298,82,3,5,nueva,suspendida,1,2024-03-01
299,83,4,3,nueva,vigente,1,2023-03-01
300,83,4,4,continuidad,vigente,2,2023-08-01
301,83,4,5,continuidad,vigente,3,2024-03-01
302,83,4,6,continuidad,vigente,4,2024-08-01
303,83,4,7,continuidad,vigente,5,2025-03-01
304,84,2,3,nueva,vigente,1,2023-03-01
305,84,2,4,continuidad,vigente,2,2023-08-01
306,84,2,5,continuidad,suspendida,3,2024-03-01
307,85,6,7,nueva,suspendida,1,2025-03-01
308,86,4,7,nueva,vigente,1,2025-03-01
309,86,4,8,continuidad,vigente,2,2025-08-01
310,87,3,2,nueva,suspendida,1,2022-08-01
311,88,3,7,nueva,vigente,1,2025-03-01
312,88,3,8,continuidad,vigente,2,2025-08-01
313,89,6,3,nueva,vigente,1,2023-03-01
314,89,6,4,continuidad,vigente,2,2023-08-01
315,89,6,5,continuidad,vigente,3,2024-03-01
316,89,6,6,continuidad,retirada,4,2024-08-01
317,90,4,6,nueva,vigente,1,2024-08-01
318,90,4,7,continuidad,vigente,2,2025-03-01
319,90,4,8,continuidad,vigente,3,2025-08-01
320,91,5,7,nueva,vigente,1,2025-03-01
321,91,5,8,continuidad,vigente,2,2025-08-01
322,92,3,3,nueva,vigente,1,2023-03-01
323,92,3,4,continuidad,vigente,2,2023-08-01
324,92,3,5,continuidad,vigente,3,2024-03-01
325,92,3,6,continuidad,vigente,4,2024-08-01
326,92,3,7,continuidad,vigente,5,2025-03-01
327,93,5,7,nueva,vigente,1,2025-03-01
328,93,5,8,continuidad,vigente,2,2025-08-01
329,94,2,5,nueva,vigente,1,2024-03-01
330,94,2,6,continuidad,vigente,2,2024-08-01
331,94,2,7,continuidad,vigente,3,2025-03-01
332,94,2,8,continuidad,vigente,4,2025-08-01
333,95,1,2,nueva,vigente,1,2022-08-01
334,95,1,3,continuidad,vigente,2,2023-03-01
335,95,1,4,continuidad,suspendida,3,2023-08-01
336,96,2,7,nueva,vigente,1,2025-03-01
337,96,2,8,continuidad,vigente,2,2025-08-01
338,97,4,3,nueva,vigente,1,2023-03-01
339,97,4,4,continuidad,vigente,2,2023-08-01
340,97,4,5,continuidad,vigente,3,2024-03-01
341,97,4,6,continuidad,vigente,4,2024-08-01
342,97,4,7,continuidad,suspendida,5,2025-03-01
343,98,5,6,nueva,retirada,1,2024-08-01
344,99,2,1,nueva,retirada,1,2022-03-01
345,100,4,1,nueva,vigente,1,2022-03-01
346,100,4,2,continuidad,vigente,2,2022-08-01
347,100,4,3,continuidad,vigente,3,2023-03-01
348,100,4,4,continuidad,vigente,4,2023-08-01
349,100,4,5,continuidad,vigente,5,2024-03-01
350,101,4,3,nueva,vigente,1,2023-03-01
351,101,4,4,continuidad,vigente,2,2023-08-01
352,101,4,5,continuidad,vigente,3,2024-03-01
353,101,4,6,continuidad,vigente,4,2024-08-01
354,101,4,7,continuidad,vigente,5,2025-03-01
355,102,3,5,nueva,vigente,1,2024-03-01
356,102,3,6,continuidad,suspendida,2,2024-08-01
357,103,2,8,nueva,vigente,1,2025-08-01
358,104,4,4,nueva,vigente,1,2023-08-01
359,104,4,5,continuidad,vigente,2,2024-03-01
360,104,4,6,continuidad,retirada,3,2024-08-01
361,105,4,7,nueva,vigente,1,2025-03-01
362,105,4,8,continuidad,vigente,2,2025-08-01
363,106,3,5,nueva,vigente,1,2024-03-01
364,106,3,6,continuidad,vigente,2,2024-08-01
365,106,3,7,continuidad,vigente,3,2025-03-01
366,106,3,8,continuidad,vigente,4,2025-08-01
367,107,1,6,nueva,suspendida,1,2024-08-01
368,108,6,5,nueva,vigente,1,2024-03-01
369,108,6,6,continuidad,vigente,2,2024-08-01
370,108,6,7,continuidad,vigente,3,2025-03-01
371,108,6,8,continuidad,vigente,4,2025-08-01
372,109,6,8,nueva,vigente,1,2025-08-01
373,110,3,2,nueva,vigente,1,2022-08-01
374,110,3,3,continuidad,vigente,2,2023-03-01
375,110,3,4,continuidad,vigente,3,2023-08-01
376,110,3,5,continuidad,vigente,4,2024-03-01
377,110,3,6,continuidad,vigente,5,2024-08-01
378,111,6,1,nueva,vigente,1,2022-03-01
379,111,6,2,continuidad,retirada,2,2022-08-01
380,112,1,7,nueva,vigente,1,2025-03-01
381,112,1,8,continuidad,vigente,2,2025-08-01
382,113,6,5,nueva,vigente,1,2024-03-01
383,113,6,6,continuidad,vigente,2,2024-08-01
384,113,6,7,continuidad,vigente,3,2025-03-01
385,113,6,8,continuidad,vigente,4,2025-08-01
386,114,4,5,nueva,suspendida,1,2024-03-01
387,115,3,4,nueva,vigente,1,2023-08-01
388,115,3,5,continuidad,vigente,2,2024-03-01
389,115,3,6,continuidad,vigente,3,2024-08-01
390,115,3,7,continuidad,retirada,4,2025-03-01
391,116,4,8,nueva,vigente,1,2025-08-01
392,117,5,2,nueva,vigente,1,2022-08-01
393,117,5,3,continuidad,vigente,2,2023-03-01
394,117,5,4,continuidad,vigente,3,2023-08-01
395,117,5,5,continuidad,vigente,4,2024-03-01
396,117,5,6,continuidad,vigente,5,2024-08-01
397,117,5,7,continuidad,vigente,6,2025-03-01
398,117,5,8,continuidad,vigente,7,2025-08-01
399,118,3,7,nueva,vigente,1,2025-03-01
400,118,3,8,continuidad,vigente,2,2025-08-01
401,119,2,3,nueva,vigente,1,2023-03-01
402,119,2,4,continuidad,vigente,2,2023-08-01
403,119,2,5,continuidad,vigente,3,2024-03-01
404,119,2,6,continuidad,vigente,4,2024-08-01
405,119,2,7,continuidad,vigente,5,2025-03-01
406,119,2,8,continuidad,vigente,6,2025-08-01
407,120,1,3,nueva,vigente,1,2023-03-01
408,120,1,4,continuidad,vigente,2,2023-08-01
409,120,1,5,continuidad,vigente,3,2024-03-01
410,120,1,6,continuidad,vigente,4,2024-08-01
411,120,1,7,continuidad,vigente,5,2025-03-01
412,120,1,8,continuidad,vigente,6,2025-08-01
413,121,3,7,nueva,vigente,1,2025-03-01
414,121,3,8,continuidad,vigente,2,2025-08-01
415,122,1,4,nueva,suspendida,1,2023-08-01
416,123,2,7,nueva,vigente,1,2025-03-01
417,123,2,8,continuidad,vigente,2,2025-08-01
418,124,5,6,nueva,suspendida,1,2024-08-01
419,125,4,5,nueva,vigente,1,2024-03-01
420,125,4,6,continuidad,vigente,2,2024-08-01
421,125,4,7,continuidad,vigente,3,2025-03-01
422,125,4,8,continuidad,vigente,4,2025-08-01
423,126,3,5,nueva,vigente,1,2024-03-01
424,126,3,6,continuidad,vigente,2,2024-08-01
425,126,3,7,continuidad,vigente,3,2025-03-01
426,126,3,8,continuidad,vigente,4,2025-08-01
427,127,6,2,nueva,vigente,1,2022-08-01
428,127,6,3,continuidad,vigente,2,2023-03-01
429,127,6,4,continuidad,vigente,3,2023-08-01
430,127,6,5,continuidad,vigente,4,2024-03-01
431,127,6,6,continuidad,suspendida,5,2024-08-01
432,128,2,5,nueva,suspendida,1,2024-03-01
433,129,4,5,nueva,vigente,1,2024-03-01
434,129,4,6,continuidad,vigente,2,2024-08-01
435,129,4,7,continuidad,vigente,3,2025-03-01
436,129,4,8,continuidad,vigente,4,2025-08-01
437,130,1,5,nueva,vigente,1,2024-03-01
438,130,1,6,continuidad,vigente,2,2024-08-01
439,130,1,7,continuidad,vigente,3,2025-03-01
440,130,1,8,continuidad,vigente,4,2025-08-01
441,131,1,8,nueva,vigente,1,2025-08-01
442,132,3,1,nueva,retirada,1,2022-03-01
443,133,3,1,nueva,vigente,1,2022-03-01
444,133,3,2,continuidad,vigente,2,2022-08-01
445,133,3,3,continuidad,vigente,3,2023-03-01
446,133,3,4,continuidad,vigente,4,2023-08-01
447,133,3,5,continuidad,vigente,5,2024-03-01
448,134,6,4,nueva,vigente,1,2023-08-01
449,134,6,5,continuidad,vigente,2,2024-03-01
450,134,6,6,continuidad,vigente,3,2024-08-01
451,134,6,7,continuidad,suspendida,4,2025-03-01
452,135,2,1,nueva,vigente,1,2022-03-01
453,135,2,2,continuidad,vigente,2,2022-08-01
454,135,2,3,continuidad,vigente,3,2023-03-01
455,135,2,4,continuidad,vigente,4,2023-08-01
456,135,2,5,continuidad,vigente,5,2024-03-01
457,135,2,6,continuidad,vigente,6,2024-08-01
458,135,2,7,continuidad,suspendida,7,2025-03-01
459,136,5,1,nueva,vigente,1,2022-03-01
460,136,5,2,continuidad,vigente,2,2022-08-01
461,136,5,3,continuidad,vigente,3,2023-03-01
462,136,5,4,continuidad,vigente,4,2023-08-01
463,136,5,5,continuidad,vigente,5,2024-03-01
464,136,5,6,continuidad,vigente,6,2024-08-01
465,136,5,7,continuidad,retirada,7,2025-03-01
466,137,6,6,nueva,vigente,1,2024-08-01
467,137,6,7,continuidad,vigente,2,2025-03-01
468,137,6,8,continuidad,vigente,3,2025-08-01
469,138,1,5,nueva,suspendida,1,2024-03-01
470,139,5,8,nueva,vigente,1,2025-08-01
471,140,1,3,nueva,vigente,1,2023-03-01
472,140,1,4,continuidad,vigente,2,2023-08-01
473,140,1,5,continuidad,vigente,3,2024-03-01
474,140,1,6,continuidad,vigente,4,2024-08-01
475,140,1,7,continuidad,vigente,5,2025-03-01
476,140,1,8,continuidad,vigente,6,2025-08-01
477,141,4,7,nueva,vigente,1,2025-03-01
478,141,4,8,continuidad,vigente,2,2025-08-01
479,142,4,2,nueva,vigente,1,2022-08-01
480,142,4,3,continuidad,vigente,2,2023-03-01
481,142,4,4,continuidad,vigente,3,2023-08-01
482,142,4,5,continuidad,vigente,4,2024-03-01
483,142,4,6,continuidad,vigente,5,2024-08-01
484,143,5,4,nueva,vigente,1,2023-08-01
485,143,5,5,continuidad,vigente,2,2024-03-01
486,143,5,6,continuidad,vigente,3,2024-08-01
487,143,5,7,continuidad,vigente,4,2025-03-01
488,143,5,8,continuidad,vigente,5,2025-08-01
489,144,5,1,nueva,vigente,1,2022-03-01
490,144,5,2,continuidad,vigente,2,2022-08-01
491,144,5,3,continuidad,vigente,3,2023-03-01
492,144,5,4,continuidad,vigente,4,2023-08-01
493,144,5,5,continuidad,vigente,5,2024-03-01
494,144,5,6,continuidad,vigente,6,2024-08-01
495,144,5,7,continuidad,vigente,7,2025-03-01
496,144,5,8,continuidad,vigente,8,2025-08-01
497,145,4,5,nueva,vigente,1,2024-03-01
498,145,4,6,continuidad,vigente,2,2024-08-01
499,145,4,7,continuidad,vigente,3,2025-03-01
500,145,4,8,continuidad,vigente,4,2025-08-01
501,146,3,3,nueva,vigente,1,2023-03-01
502,146,3,4,continuidad,vigente,2,2023-08-01
503,146,3,5,continuidad,vigente,3,2024-03-01
504,146,3,6,continuidad,vigente,4,2024-08-01
505,146,3,7,continuidad,vigente,5,2025-03-01
506,147,3,4,nueva,vigente,1,2023-08-01
507,147,3,5,continuidad,vigente,2,2024-03-01
508,147,3,6,continuidad,vigente,3,2024-08-01
509,147,3,7,continuidad,vigente,4,2025-03-01
510,147,3,8,continuidad,vigente,5,2025-08-01
511,148,6,8,nueva,vigente,1,2025-08-01
512,149,5,4,nueva,vigente,1,2023-08-01
513,149,5,5,continuidad,vigente,2,2024-03-01
514,149,5,6,continuidad,vigente,3,2024-08-01
515,149,5,7,continuidad,retirada,4,2025-03-01
516,150,2,8,nueva,vigente,1,2025-08-01
517,151,2,6,nueva,vigente,1,2024-08-01
518,151,2,7,continuidad,vigente,2,2025-03-01
519,151,2,8,continuidad,vigente,3,2025-08-01
520,152,4,5,nueva,vigente,1,2024-03-01
521,152,4,6,continuidad,vigente,2,2024-08-01
522,152,4,7,continuidad,vigente,3,2025-03-01
523,152,4,8,continuidad,vigente,4,2025-08-01
524,153,6,5,nueva,suspendida,1,2024-03-01
525,154,2,4,nueva,vigente,1,2023-08-01
526,154,2,5,continuidad,vigente,2,2024-03-01
527,154,2,6,continuidad,vigente,3,2024-08-01
528,154,2,7,continuidad,vigente,4,2025-03-01
529,154,2,8,continuidad,vigente,5,2025-08-01
530,155,2,1,nueva,vigente,1,2022-03-01
531,155,2,2,continuidad,vigente,2,2022-08-01
532,155,2,3,continuidad,vigente,3,2023-03-01
533,155,2,4,continuidad,vigente,4,2023-08-01
534,155,2,5,continuidad,vigente,5,2024-03-01
535,155,2,6,continuidad,vigente,6,2024-08-01
536,155,2,7,continuidad,vigente,7,2025-03-01
537,155,2,8,continuidad,vigente,8,2025-08-01
538,156,6,1,nueva,vigente,1,2022-03-01
539,156,6,2,continuidad,vigente,2,2022-08-01
