id_asignatura,id_carrera,codigo_asignatura,nombre_asignatura,nivel_sugerido,creditos,tipo_asignatura,estado_asignatura
166,5,C50801,Ingeniería en Logística - Módulo 8.1,8,6,obligatoria,activa
167,5,C50802,Ingeniería en Logística - Módulo 8.2,8,6,obligatoria,activa
168,5,C50803,Ingeniería en Logística - Módulo 8.3,8,6,obligatoria,activa
169,5,C50804,Ingeniería en Logística - Módulo 8.4,8,6,obligatoria,activa
170,5,C50805,Ingeniería en Logística - Módulo 8.5,8,6,electiva,activa
171,6,C60101,Técnico en Administración - Módulo 1.1,1,6,obligatoria,activa
172,6,C60102,Técnico en Administración - Módulo 1.2,1,6,obligatoria,activa
173,6,C60103,Técnico en Administración - Módulo 1.3,1,6,obligatoria,activa
174,6,C60104,Técnico en Administración - Módulo 1.4,1,6,obligatoria,activa
175,6,C60105,Técnico en Administración - Módulo 1.5,1,6,electiva,activa
176,6,C60201,Técnico en Administración - Módulo 2.1,2,6,obligatoria,activa
177,6,C60202,Técnico en Administración - Módulo 2.2,2,6,obligatoria,activa
178,6,C60203,Técnico en Administración - Módulo 2.3,2,6,obligatoria,activa
179,6,C60204,Técnico en Administración - Módulo 2.4,2,6,obligatoria,activa
180,6,C60205,Técnico en Administración - Módulo 2.5,2,6,electiva,activa
181,6,C60301,Técnico en Administración - Módulo 3.1,3,6,obligatoria,activa
182,6,C60302,Técnico en Administración - Módulo 3.2,3,6,obligatoria,activa
183,6,C60303,Técnico en Administración - Módulo 3.3,3,6,obligatoria,activa
184,6,C60304,Técnico en Administración - Módulo 3.4,3,6,obligatoria,activa
185,6,C60305,Técnico en Administración - Módulo 3.5,3,6,electiva,activa
186,6,C60401,Técnico en Administración - Módulo 4.1,4,6,obligatoria,activa
187,6,C60402,Técnico en Administración - Módulo 4.2,4,6,obligatoria,activa
188,6,C60403,Técnico en Administración - Módulo 4.3,4,6,obligatoria,activa
189,6,C60404,Técnico en Administración - Módulo 4.4,4,6,obligatoria,activa
190,6,C60405,Técnico en Administración - Módulo 4.5,4,6,electiva,activa
191,6,C60501,Técnico en Administración - Módulo 5.1,5,6,obligatoria,activa
192,6,C60502,Técnico en Administración - Módulo 5.2,5,6,obligatoria,activa
193,6,C60503,Técnico en Administración - Módulo 5.3,5,6,obligatoria,activa
194,6,C60504,Técnico en Administración - Módulo 5.4,5,6,obligatoria,activa
195,6,C60505,Técnico en Administración - Módulo 5.5,5,6,electiva,activa
