id_estudiante,fecha_nacimiento,genero,fecha_ingreso,tipo_admision,id_carrera_origen
81,1990-06-17,Femenino,2022-03-01,Regular,4
82,1992-04-09,Masculino,2024-03-01,Regular,3
83,1995-02-11,No informa,2023-03-01,Regular,4
84,1992-09-15,Masculino,2023-03-01,Regular,2
85,1998-09-24,Femenino,2025-03-01,Regular,6
86,1996-05-17,Femenino,2025-03-01,Regular,4
87,1999-01-25,Femenino,2022-08-01,Regular,3
88,2003-10-21,Femenino,2025-03-01,Especial,3
89,2003-06-14,Femenino,2023-03-01,Regular,6
90,1991-12-01,No informa,2024-08-01,Especial,4
91,1999-08-28,Femenino,2025-03-01,Regular,5
92,2004-08-05,No informa,2023-03-01,Regular,3
93,2000-12-14,Masculino,2025-03-01,Regular,5
94,1996-03-09,Femenino,2024-03-01,Regular,2
95,2003-08-06,Femenino,2022-08-01,Regular,1
96,1990-11-01,Femenino,2025-03-01,Regular,2
97,1988-07-14,Masculino,2023-03-01,Especial,4
98,1996-09-22,Femenino,2024-08-01,Regular,5
99,2000-02-04,No informa,2022-03-01,Regular,2
100,2006-07-17,Femenino,2022-03-01,Regular,4
101,2005-12-25,Femenino,2023-03-01,Regular,4
102,1988-03-21,Femenino,2024-03-01,Regular,3
103,2000-04-11,No informa,2025-08-01,Regular,2
104,1989-07-20,Masculino,2023-08-01,Regular,4
105,1998-12-06,Femenino,2025-03-01,Regular,4
106,1996-08-28,No informa,2024-03-01,Regular,3
107,1989-04-11,No informa,2024-08-01,Regular,1
108,2003-09-11,Femenino,2024-03-01,Regular,6
109,1991-11-26,Femenino,2025-08-01,Especial,6
110,1994-01-12,Masculino,2022-08-01,Regular,3
111,2000-01-10,Masculino,2022-03-01,Regular,6
112,1998-08-17,Femenino,2025-03-01,Especial,1
113,2006-07-07,Femenino,2024-03-01,Regular,6
114,1995-12-22,Femenino,2024-03-01,Regular,4
115,2003-09-01,Masculino,2023-08-01,Especial,3
116,1994-06-25,No informa,2025-08-01,Transferencia,4
117,1992-09-18,No informa,2022-08-01,Especial,5
118,1995-03-24,Femenino,2025-03-01,Regular,3
119,2003-06-14,No informa,2023-03-01,Regular,2
120,2006-11-18,Femenino,2023-03-01,Regular,1
121,1997-06-04,No informa,2025-03-01,Regular,3
122,2003-09-28,No informa,2023-08-01,Regular,1
123,1995-07-07,Femenino,2025-03-01,Regular,2
124,2004-11-21,No informa,2024-08-01,Regular,5
125,1993-05-11,Femenino,2024-03-01,Regular,4
126,1995-12-27,Femenino,2024-03-01,Regular,3
127,1992-03-23,Masculino,2022-08-01,Regular,6
128,1998-09-06,Femenino,2024-03-01,Regular,2
129,1993-05-11,No informa,2024-03-01,Regular,4
130,1994-03-18,Femenino,2024-03-01,Regular,1
131,1992-04-27,Femenino,2025-08-01,Especial,1
132,1987-01-04,No informa,2022-03-01,Regular,3
133,1987-06-11,Masculino,2022-03-01,Especial,3
134,1999-02-09,Femenino,2023-08-01,Regular,6
135,1990-09-17,Masculino,2022-03-01,Regular,2
136,2002-10-05,Femenino,2022-03-01,Regular,5
137,1990-11-14,No informa,2024-08-01,Regular,6
138,1995-11-12,Femenino,2024-03-01,Regular,1
139,1999-03-14,Femenino,2025-08-01,Regular,5
140,2003-09-19,Masculino,2023-03-01,Regular,1
141,1994-09-12,Femenino,2025-03-01,Regular,4
142,1996-04-09,No informa,2022-08-01,Regular,4
143,1988-12-26,Masculino,2023-08-01,Especial,5
144,2002-07-18,No informa,2022-03-01,Regular,5
145,1995-03-15,No informa,2024-03-01,Regular,4
146,1989-07-09,Femenino,2023-03-01,Regular,3
147,1990-06-26,Femenino,2023-08-01,Regular,3
148,1998-11-06,No informa,2025-08-01,Regular,6
149,1995-06-11,Femenino,2023-08-01,Regular,5
150,1996-03-18,No informa,2025-08-01,Regular,2
151,1988-02-28,Masculino,2024-08-01,Transferencia,2
152,2002-06-22,Masculino,2024-03-01,Regular,4
153,1999-10-20,Femenino,2024-03-01,Regular,6
154,2004-02-09,Masculino,2023-08-01,Transferencia,2
155,1999-01-09,Femenino,2022-03-01,Regular,2
156,1997-08-12,Masculino,2022-03-01,Regular,6
157,2000-10-24,Masculino,2023-08-01,Regular,1
158,1997-08-09,No informa,2023-08-01,Regular,2
159,2002-09-01,No informa,2024-03-01,Regular,4
160,1997-09-25,No informa,2025-08-01,Regular,5
161,2004-08-03,Femenino,2024-03-01,Regular,3
162,1996-11-11,No informa,2024-03-01,Regular,6
163,2000-04-07,Femenino,2023-03-01,Regular,5
164,1997-02-01,No informa,2024-03-01,Especial,6
165,1994-02-02,Femenino,2024-03-01,Regular,3
166,1989-06-26,No informa,2025-03-01,Regular,2
167,1993-08-05,No informa,2025-03-01,Especial,1
168,1990-12-22,Masculino,2024-03-01,Regular,4
169,1993-12-12,Masculino,2025-08-01,Regular,6
170,1991-03-07,Masculino,2024-03-01,Regular,1
171,1988-02-12,Femenino,2025-08-01,Regular,5
172,2001-06-24,Femenino,2023-03-01,Regular,2
173,1989-10-08,Femenino,2022-03-01,Regular,4
174,1995-06-12,Masculino,2022-08-01,Regular,1
175,1993-05-24,Masculino,2025-03-01,Regular,5
176,1997-11-27,Masculino,2024-08-01,Regular,6
177,1989-08-10,Femenino,2023-08-01,Regular,1
178,2005-10-03,Femenino,2023-03-01,Regular,3
179,1992-07-27,Femenino,2024-03-01,Regular,5
180,1988-02-21,Masculino,2023-03-01,Regular,5
181,1992-06-05,Femenino,2024-03-01,Regular,1
182,2004-09-03,Masculino,2024-08-01,Regular,1
183,1989-01-03,Femenino,2024-03-01,Regular,4
184,1998-03-11,Femenino,2024-03-01,Regular,1
185,2005-03-01,No informa,2022-08-01,Regular,5
186,1997-02-18,Masculino,2025-03-01,Regular,3
187,2001-07-22,Masculino,2025-03-01,Especial,3
188,1998-08-24,No informa,2022-03-01,Regular,4
189,2005-08-26,Masculino,2024-08-01,Regular,1
190,1998-05-16,No informa,2025-08-01,Especial,3
191,1990-09-24,Femenino,2023-08-01,Regular,1
192,1996-07-22,Masculino,2025-03-01,Regular,2
193,2005-05-16,Femenino,2022-03-01,Regular,1
194,1995-08-14,No informa,2025-03-01,Regular,3
195,2000-09-14,Femenino,2024-08-01,Especial,6
196,1988-09-08,No informa,2025-03-01,Especial,3
197,2001-07-28,Femenino,2024-03-01,Regular,5
198,1994-11-08,Masculino,2025-03-01,Regular,3
199,1994-12-13,No informa,2025-03-01,Especial,2
200,2001-09-24,Masculino,2023-03-01,Regular,1
201,2005-05-22,No informa,2024-08-01,Regular,3
202,1988-04-21,Masculino,2025-03-01,Transferencia,3
203,1996-08-08,Femenino,2025-03-01,Especial,4
204,2004-02-03,Masculino,2024-03-01,Regular,5
205,2006-02-01,No informa,2023-03-01,Regular,4
206,2006-05-23,No informa,2024-03-01,Regular,5
207,2001-05-17,Femenino,2024-03-01,Regular,3
208,2002-03-22,Femenino,2022-08-01,Regular,3
209,1987-09-25,Masculino,2024-08-01,Regular,4
210,2006-05-04,Femenino,2025-03-01,Especial,4
211,1988-02-04,Masculino,2024-03-01,Regular,4
212,2004-02-16,Masculino,2023-08-01,Regular,6
213,1992-02-18,Femenino,2025-03-01,Regular,3
214,1999-09-23,Femenino,2025-03-01,Regular,6
215,1992-01-21,Femenino,2022-03-01,Regular,2
216,1998-07-25,Femenino,2023-03-01,Regular,1
217,1990-07-08,Femenino,2024-03-01,Regular,5
218,2001-03-26,Femenino,2024-03-01,Regular,5
219,2001-09-15,Masculino,2025-03-01,Regular,6
220,2000-07-17,Masculino,2024-08-01,Regular,4
221,1999-09-24,Masculino,2023-03-01,Regular,5
222,1993-09-06,Masculino,2023-03-01,Regular,3
223,1995-10-12,Masculino,2023-08-01,Regular,3
224,2003-11-15,No informa,2022-03-01,Especial,5
225,1993-01-10,Masculino,2023-03-01,Regular,6
226,1994-04-07,Masculino,2024-08-01,Especial,2
227,2002-10-06,No informa,2025-03-01,Regular,4
228,1991-09-08,Femenino,2022-03-01,Especial,1
229,1996-07-10,Femenino,2022-08-01,Especial,3
230,1989-09-07,Masculino,2024-03-01,Especial,3
231,1989-03-17,Masculino,2024-03-01,Regular,5
232,1991-11-27,No informa,2025-03-01,Transferencia,2
233,2000-04-05,Masculino,2024-03-01,Transferencia,6
234,1991-03-26,Femenino,2024-03-01,Regular,4
235,1990-11-14,Femenino,2025-08-01,Especial,2
236,1996-05-10,No informa,2023-08-01,Especial,5
237,1988-05-25,Masculino,2025-03-01,Regular,5
238,1999-06-07,Masculino,2024-03-01,Especial,4
239,2004-12-26,No informa,2024-03-01,Regular,1
240,2003-05-06,Femenino,2025-03-01,Regular,1
241,2005-04-05,No informa,2022-03-01,Regular,5
242,1989-06-11,Femenino,2025-08-01,Especial,1
243,1990-06-04,Femenino,2025-03-01,Regular,5
244,1995-11-23,Femenino,2025-03-01,Regular,5
245,1990-11-13,Femenino,2024-03-01,Regular,4
246,1994-11-13,Femenino,2022-03-01,Regular,4
247,1997-03-19,No informa,2022-03-01,Regular,6
248,1996-10-06,Femenino,2023-03-01,Regular,3
249,1994-08-03,Masculino,2024-08-01,Regular,2
250,1990-04-20,Masculino,2023-03-01,Especial,2
251,1988-10-04,No informa,2024-08-01,Regular,1
252,2002-05-01,Femenino,2022-03-01,Especial,5
253,2000-04-18,No informa,2022-08-01,Regular,3
254,1992-10-27,Masculino,2025-08-01,Regular,2
255,1990-03-22,Femenino,2024-03-01,Especial,1
256,1990-08-27,Femenino,2025-08-01,Regular,6
257,1998-12-14,Masculino,2023-03-01,Regular,5
258,1994-08-17,Femenino,2025-03-01,Especial,2
259,1997-08-04,Masculino,2024-03-01,Regular,1
260,1991-05-01,No informa,2025-03-01,Regular,1
261,2002-06-12,Femenino,2023-03-01,Transferencia,6
262,2003-02-18,Femenino,2022-03-01,Regular,6
263,1996-02-07,Femenino,2023-08-01,Regular,1
264,2000-03-23,Femenino,2024-03-01,Regular,4
265,1987-06-22,No informa,2025-08-01,Regular,6
266,2004-03-13,Femenino,2024-03-01,Regular,5
267,2001-05-21,No informa,2023-08-01,Especial,3
268,1989-05-10,Masculino,2025-03-01,Regular,3
269,2000-10-05,Masculino,2024-03-01,Transferencia,5
270,1993-06-03,Femenino,2024-03-01,Regular,4
271,1990-03-24,Masculino,2023-03-01,Regular,1
272,1993-07-24,Masculino,2023-08-01,Regular,6
273,2002-01-17,Femenino,2023-03-01,Regular,4
274,2001-12-13,Masculino,2025-03-01,Regular,4
275,1987-10-19,No informa,2025-08-01,Regular,6
276,1989-01-22,Femenino,2022-08-01,Regular,5
277,1987-02-02,Masculino,2025-03-01,Regular,4
278,1995-07-22,Femenino,2024-03-01,Especial,6
279,1990-09-14,Femenino,2024-08-01,Regular,3
280,1997-09-10,Masculino,2025-08-01,Regular,3
281,2006-10-12,Masculino,2025-03-01,Regular,5
282,2002-11-17,Masculino,2023-03-01,Regular,6
283,1995-07-09,No informa,2025-08-01,Regular,4
284,1994-06-13,Masculino,2024-08-01,Regular,5
285,1988-12-03,Masculino,2023-03-01,Especial,3
286,1987-04-14,No informa,2024-03-01,Regular,6
287,1992-12-16,Femenino,2023-03-01,Regular,3
288,1990-10-06,No informa,2025-08-01,Regular,6
289,2005-08-09,No informa,2022-03-01,Especial,5
290,1997-02-14,Femenino,2024-03-01,Regular,1
291,2003-09-13,Femenino,2023-03-01,Transferencia,5
292,1997-12-08,No informa,2022-03-01,Regular,3
293,2000-08-05,Masculino,2025-03-01,Regular,3
294,2002-06-23,Masculino,2022-03-01,Regular,1
295,2005-01-20,Masculino,2023-03-01,Regular,5
296,1990-05-20,Femenino,2023-03-01,Regular,2
297,1990-08-02,No informa,2023-08-01,Regular,4
298,1991-02-12,Femenino,2023-08-01,Regular,4
299,2006-12-08,Masculino,2025-03-01,Regular,4
300,1997-03-18,Masculino,2025-03-01,Regular,2
301,1996-10-20,Masculino,2024-08-01,Regular,1
302,1997-06-18,Masculino,2022-03-01,Regular,2
303,1999-09-12,Femenino,2024-03-01,Regular,6
304,1991-09-16,Femenino,2023-03-01,Regular,5
305,1990-06-11,Masculino,2025-03-01,Regular,4
306,1990-02-19,Femenino,2023-03-01,Regular,1
307,2004-03-17,Masculino,2024-03-01,Regular,4
308,2006-07-03,No informa,2024-03-01,Regular,2
309,1996-04-24,Masculino,2025-03-01,Regular,1
310,2006-11-28,Masculino,2023-08-01,Regular,4
311,2003-01-26,Masculino,2025-08-01,Regular,6
312,1999-03-12,Masculino,2023-03-01,Transferencia,2
313,1988-11-08,Masculino,2025-08-01,Regular,6
314,1991-02-15,No informa,2025-08-01,Regular,4
315,1988-01-21,Masculino,2025-08-01,Regular,3
316,1990-08-15,No informa,2025-08-01,Regular,5
317,2000-04-19,No informa,2025-03-01,Regular,4
318,2001-04-03,Masculino,2022-03-01,Regular,4
319,1994-08-08,Masculino,2023-03-01,Transferencia,6
320,2004-01-20,Femenino,2025-03-01,Transferencia,5
321,1988-10-12,Masculino,2022-08-01,Regular,6
322,1988-10-21,Femenino,2024-08-01,Regular,3
323,2003-11-02,Femenino,2025-03-01,Regular,4
324,2005-12-28,Femenino,2024-08-01,Regular,3
325,2000-04-02,Masculino,2025-03-01,Especial,5
326,2004-01-27,Masculino,2024-03-01,Especial,4
327,1995-10-06,No informa,2023-08-01,Regular,6
328,1995-08-01,No informa,2025-08-01,Regular,6
329,2006-10-15,No informa,2024-03-01,Regular,4
330,2006-11-04,Femenino,2024-08-01,Regular,5
331,2001-08-04,Femenino,2022-08-01,Regular,3
332,1988-01-25,Femenino,2023-03-01,Especial,2
333,1999-03-26,No informa,2024-03-01,Regular,1
334,1992-07-17,Femenino,2023-03-01,Regular,4
335,2001-04-22,Masculino,2023-03-01,Regular,6
336,1995-06-11,Masculino,2024-03-01,Regular,2
337,2004-07-19,Femenino,2022-03-01,Especial,5
338,2000-06-25,Masculino,2025-03-01,Especial,2
339,2002-06-22,Masculino,2024-03-01,Regular,1
340,1990-02-17,Masculino,2022-08-01,Especial,6
341,1999-07-26,Masculino,2023-03-01,Especial,2
342,2004-02-09,No informa,2024-03-01,Regular,1
343,2003-01-05,Masculino,2025-03-01,Regular,4
344,1994-10-03,Masculino,2022-03-01,Regular,4
345,2001-02-23,Femenino,2023-03-01,Regular,5
346,1999-04-15,Femenino,2025-08-01,Regular,2
347,1997-12-23,Femenino,2025-03-01,Especial,6
348,1999-06-09,No informa,2024-03-01,Regular,1
349,2004-01-19,Femenino,2023-03-01,Regular,3
350,1997-03-09,Femenino,2023-08-01,Regular,4
351,1996-09-09,Femenino,2025-08-01,Especial,1
352,1997-12-21,Masculino,2024-03-01,Regular,3
353,2002-02-14,Masculino,2023-08-01,Regular,1
354,1989-02-02,No informa,2025-08-01,Regular,5
355,2000-10-25,No informa,2022-08-01,Regular,5
356,1993-11-26,Femenino,2024-03-01,Especial,1
357,2002-03-20,Femenino,2023-03-01,Regular,6
358,2002-04-14,Femenino,2025-08-01,Regular,2
359,1988-04-25,Femenino,2024-03-01,Regular,3
360,1992-02-03,No informa,2024-08-01,Regular,5
